kljuc_igre,kljuc_razvijalca,razvijalec
9692,6669371,Eidos Montréal
117541,6669438,Expansive Worlds
80222,6669614,The Deep End Games
4542,66610073,Team Silent
984,66610073,Team Silent
4543,66610073,Team Silent
5131,66610073,Team Silent
8837,66610073,Team Silent
12474,66610218,Index+
104432,66610608,RedBedlam
72891,66610690,Phosphor Games
17105,66610725,Bend Studio
115348,66610816,Neko Climax Studios
240,66610852,Iguana UK
2770,66610891,Raster Productions
86261,66611184,Deck Nine
5582,66611252,SCE Studio Cambridge
9401,66611252,SCE Studio Cambridge
11943,66611679,Tecmo Koei
11218,66611698,Hardlight
527,66611894,HexaDrive
5163,66611949,Climax Solent
5163,66611949,Climax Solent
9430,66611949,Climax Solent
12444,66611949,Climax Solent
118000,66612139,Gunfire Games
5844,66612147,Gray Matter Interactive Studios
23030,66612416,Infinitap Games
40443,66612557,Wraith Corporation
13191,66612806,Acclaim Studios Teesside
11383,66612806,Acclaim Studios Teesside
3602,66612815,Tigon Studios
5930,66612815,Tigon Studios
12177,66612815,Tigon Studios
12178,66612815,Tigon Studios
14131,66612958,Tycoon
404,66612969,Tremor Entertainment
7722,66612992,HIP Games
93917,66613294,VCA Interactive
8125,66613910,DiezelPower
6319,66613940,Mercury Steam Entertainment
124822,66614023,Painted Black Games
31868,66614051,Ideaworks Game Studio
97779,66614086,Balcony Team
9858,66614173,Ikusabune Inc.
805,66614250,Blue Omega Entertainment
8087,66614283,Innerloop Studios
115632,66614363,Nine Dots Studio
8076,66614845,Capcom Game Studio Vancouver
11967,66614845,Capcom Game Studio Vancouver
17253,66614845,Capcom Game Studio Vancouver
12103,66614845,Capcom Game Studio Vancouver
53510,66614952,Weappy Studio
101756,66615002,Inscape
12963,66615163,Rebellion Derby
33265,66615174,Crispy's!
8523,66615187,Guildford Studio
3332,66615435,Climax London
103888,66615447,Plastic Reality Technologies
109852,66615740,Toadman Interactive
106195,66615940,RYM GAMES
13895,66616057,Virgin Interactive Entertainment
11156,66616060,Möbius Entertainment
12705,66617227,Crowbar Collective
110153,66617236,D'Avekki Studios Ltd
112431,66620686,Kverta
112524,66620693,Honey Parade Games
77002,66620762,Tantalus Entertainment
112935,66620909,Oscar Brittain
113176,66621074,Beautiful Glitch
11812,66622494,Saber Interactive Russia
16483,66623833,Machine Games
118382,66623937,Bloober Team SA
11023,66624068,Frogwares Game Development Studio
12309,66624068,Frogwares Game Development Studio
31052,66624068,Frogwares Game Development Studio
118973,66624340,Illusion
119300,66624508,Invader Studios
119355,66624533,Studio Gamaii
72754,66624559,Frontwing
122582,66626415,WMY Studio
12207,66627419,BioWare Edmonton
124847,66627507,Tendogames
5166,66627915,Sony Bend
16404,66628167,The Climax Group
13239,66629901,Sierra Northwest
3779,66630140,Reactor Zero
16612,66630264,WZOGI
16525,66630308,EA Digital Illusions CE AB
11068,66630476,Triptych Games
5191,66630853,Homegrown Games
22009,66631534,Ubisoft Eood
16414,66632097,Project Venus
7843,66633673,EA Digital Illusions
8522,66633673,EA Digital Illusions
12301,66633673,EA Digital Illusions
4585,66633822,Logicware
27259,66633822,Logicware
27258,66633822,Logicware
3989,66633928,Ubisoft Paris Studios
15774,66634124,Lexis Numérique
14701,66634124,Lexis Numérique
15810,66634124,Lexis Numérique
15811,66634124,Lexis Numérique
3475,66634796,Eurocom Developments
9400,66634796,Eurocom Developments
10942,66634796,Eurocom Developments
11457,66634796,Eurocom Developments
12107,66635434,Entersphere
8704,66635805,38 Studios
11670,66635805,38 Studios
15879,66636222,Vatra Games
8526,66636233,Index
11553,66636233,Index
12986,66636480,Electronic Arts Chicago
70,66637750,Funcom Oslo
7674,66637750,Funcom Oslo
10498,66637750,Funcom Oslo
13969,66638434,The Mauretania Import Export Company
6601,66638457,DreamOn Studio
12444,66638622,Climax LA
20356,66640047,Wanadoo Edition
13499,66640602,WorkJam
94803,66640862,Kuju London
33405,66641334,caiys
3949,66641538,Rockstar Canada
6319,66641981,Alchemic Productions
32046,66642884,Unbisoft Annecy
33051,66642946,House Marque
11302,66643289,Konami Computer Entertainment Chicago
27575,66643289,Konami Computer Entertainment Chicago
13140,66643290,Konami Computer Entertainment Sapporo
5612,66643443,Midway Studios Austin
4031,66643443,Midway Studios Austin
4030,66643443,Midway Studios Austin
12156,66643529,Pluto 13
2603,66643674,Feral Interactive (Mac)
2402,66643688,Rockstar North / Toronto
108,66643691,Feral Interactive (Mac/Linux)
2454,66643691,Feral Interactive (Mac/Linux)
12772,66643694,Ubisoft  Shanghaï
972,66643710,Codemasters Action Studio
10401,66643718,Bigmoon Studios
2603,66643744,Eidos-Montréal
16788,66643744,Eidos-Montréal
2603,66643745,Nixxes
8968,66643752,Med-Art
11185,66643764,S.L.
4186,66643775,and Ubisoft Shanghai
12632,66643831,Trilobyte Games
68288,66643940,Spike Chunsoft Co.
119165,66643940,Spike Chunsoft Co.
73487,66644067,Behaviour Interactive Inc.
117548,66644480,APLUS Co.
105425,66644539,Imaginati Studios
11073,66644579,Blind Squirrel Games
914,66644629,T3Entertainment
76968,66644672,Milan Toth
14053,66645012,Fire Falcom
7322,66645040,Ubisoft Studios
14899,66645040,Ubisoft Studios
16229,66645062,KaiPrime
34457,66645118,Odium team
90687,66645295,League of Sweat
8049,66645442,Silicon Ice Development
8049,66645443,FrozenSand
7324,66645625,Midway Studios -- Chicago
40751,66645946,Dreadlocks
8115,66645948,Dark Energy Digital
858,66645954,Bungie Software Products
8361,66645954,Bungie Software Products
11886,66645954,Bungie Software Products
10573,66645967,WizardWorks Group
12475,66646060,Deep Space
850,66646122,Namco Bandai Games America
7321,66646122,Namco Bandai Games America
8108,66647022,Trashmasters
86,66647239,Ready at Dawn Studios
12108,66647239,Ready at Dawn Studios
8171,66647239,Ready at Dawn Studios
15239,66647393,G&D
121258,66647589,Rockstar New England
14429,66647593,Playlogic Game Factory
116503,66648085,GUILD STUDIO
17459,66648156,Black Lion Studios
4978,66648590,Io-Interactive
788,66648590,Io-Interactive
1987,66648590,Io-Interactive
2470,66648590,Io-Interactive
5099,66648590,Io-Interactive
4978,66648590,Io-Interactive
3961,66648590,Io-Interactive
5210,66648590,Io-Interactive
3947,66648590,Io-Interactive
11412,66648590,Io-Interactive
5175,66648590,Io-Interactive
13420,66648590,Io-Interactive
7195,66648590,Io-Interactive
10606,66648590,Io-Interactive
11343,66648590,Io-Interactive
11802,66648590,Io-Interactive
13989,66648590,Io-Interactive
12062,66648590,Io-Interactive
1802,66648590,Io-Interactive
97003,66648590,Io-Interactive
13421,66648590,Io-Interactive
12069,66648590,Io-Interactive
142,66648590,Io-Interactive
13422,66648590,Io-Interactive
8154,66649010,Black Element
2468,66649023,Spicy Horse Games
5255,66649394,Apogee Entertainment
4036,66650195,TEST DEVELOPER
3603,66650333,Starbreeze Studios and Tigon Studios
90065,66650879,Tequila Works / Abstraction Games
24481,66650952,Deep Silver Volition / High Voltage Software
755,66650981,RavenSoft / id Software
29318,66656909,Mercenary Technology
12155,66657120,Darkside Game Studios
7866,66657124,Electronic Arts DICE
94393,66657124,Electronic Arts DICE
5132,66657504,Midway Studios Los Angeles
121258,66657676,Rockstar Interactive India
13479,66657702,Tranji Studios
13478,66657702,Tranji Studios
85,66657778,SCE Studio Santa Monica
819,66657778,SCE Studio Santa Monica
12108,66657778,SCE Studio Santa Monica
8171,66657778,SCE Studio Santa Monica
11938,66657778,SCE Studio Santa Monica
12909,66657778,SCE Studio Santa Monica
12169,66657778,SCE Studio Santa Monica
5647,66657793,Hwy1 Productions
